c,gamma
1,100.0,0.001
2,1000.0,0.001
3,100.0,0.01
4,100.0,0.001
5,100.0,0.001
6,100.0,0.01
7,10.0,0.01
8,10.0,0.01
9,100.0,0.01
10,100.0,1e-05
11,100.0,1e-05
12,100.0,1e-05
13,100.0,0.01
14,100.0,0.01
15,NA,NA
16,100.0,0.01
17,1000.0,0.0001
18,10.0,0.1
19,0.1,1e-05
20,100.0,1e-05
21,100.0,0.0001
22,1.0,0.01
23,1000.0,1e-05
24,1.0,0.01
25,1000.0,0.001
26,100.0,0.01
27,1000.0,0.01
28,100.0,0.01
29,10.0,0.01
30,100.0,0.1
31,10.0,0.01
32,1000.0,0.1
33,1.0,0.01
34,1.0,0.1
35,10.0,0.1
36,1.0,0.1
37,1.0,1e-05
38,1.0,1e-05
39,1000.0,0.001
40,1000.0,0.001
41,1000.0,1e-05
42,1000.0,0.001
43,1.0,0.1
44,10.0,0.0001
45,1000.0,0.0001
46,1000.0,0.0001
47,0.1,1e-05
48,0.1,1e-05
49,100.0,0.001
50,100.0,1e-05
51,1000.0,0.0001
52,100.0,0.01
53,NA,NA
54,0.1,0.1
55,1.0,0.001
56,1.0,0.1
57,NA,NA
58,0.1,0.1
59,10.0,0.01
60,1000.0,0.001
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,0.1,1e-05
66,NA,NA
67,1000.0,0.01
68,NA,NA
69,NA,NA
70,NA,NA
71,100.0,0.01
72,1000.0,1e-05
73,NA,NA
74,1000.0,0.0001
75,NA,NA
76,NA,NA
77,1.0,0.1
78,100.0,0.0001
79,1.0,0.1
80,100.0,0.001
81,1.0,0.0001
82,1000.0,0.001
83,0.1,0.01
84,NA,NA
85,100.0,0.0001
86,NA,NA
87,100.0,0.0001
88,NA,NA
89,NA,NA
90,1000.0,0.1
91,1000.0,0.001
92,0.1,0.01
93,10.0,0.01
94,100.0,0.01
95,1000.0,0.0001
96,100.0,1e-05
97,1.0,0.01
98,100.0,0.001
99,10.0,0.1
