dept,y_min,ymax
1,710.11,172225.55
2,5452.18,151090.5
3,1.0,131564.25
4,4694.19,72179.92
5,-1.04,259955.82
6,-4989.94,54700.4
7,75.81,406988.63
8,2482.26,103627.76
9,-133.46,111246.19
10,1.46,65483.1
11,-0.1,136882.72
12,-6.59,15560.17
13,5598.45,83784.6
14,409.47,107085.6
15,NA,NA
16,-772.9,114476.9
17,-0.6,54384.04
18,-176.54,120109.74
19,-70.56,18611.63
20,-1.0,21318.94
21,72.77,29800.75
22,-420.28,53886.03
23,-24.92,165214.36
24,-11.47,40094.14
25,-8.12,36739.94
26,-7.24,38350.56
27,-8.5,13078.92
28,-6.5,3181.54
29,2.49,40615.45
30,249.5,15771.36
31,-24.0,17143.35
32,-1322.48,93131.81
33,-12.97,45669.93
34,-10.88,70060.8
35,-18.47,14203.0
36,-118.0,15895.07
37,-3.5,6304.14
38,6198.58,172794.2
39,-0.22,28.31
40,4103.89,119463.15
41,-37.0,42808.15
42,3.17,15125.94
43,-0.75,3.0
44,-31.0,27356.3
45,-140.0,288.03
46,1248.48,111262.63
47,-3925.0,1098.0
48,-544.0,13388.0
49,-327.61,33987.77
50,-80.0,9901.0
51,-177.4,209.72
52,-2.84,12564.81
53,NA,NA
54,-466.08,1371.0
55,-60.96,115608.74
56,-104.06,53864.6
57,NA,NA
58,-51.0,44860.0
59,-56.46,49196.79
60,-8.5,2930.4
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,26642.97,61588.84
66,NA,NA
67,320.08,42449.61
68,NA,NA
69,NA,NA
70,NA,NA
71,-200.0,28116.61
72,-380.0,693099.36
73,NA,NA
74,-7.64,69494.15
75,NA,NA
76,NA,NA
77,-176.0,1590.0
78,-25.0,60.0
79,3417.45,83190.3
80,-591.04,49286.2
81,858.5,61048.84
82,2178.66,135127.14
83,-6.48,18615.53
84,NA,NA
85,-1.29,19950.93
86,NA,NA
87,5.47,76224.82
88,NA,NA
89,NA,NA
90,460.7,166263.81
91,12.68,162497.78
92,4410.43,293966.05
93,-19.66,103827.72
94,-174.84,103929.39
95,11157.06,213042.66
96,-64.8,63978.78
97,-10.92,49034.16
98,-31.0,33759.9
99,-148.0,12550.0
